181,79,1134
186,102,1135
187,109,1136
188,117,1137
188,120,1138
187,137,1139
186,145,1140
183,157,1141
179,168,1142
178,171,1143
95,111,1144
94,111,1145
94,109,1146
93,108,1147
94,106,1148
93,106,1149
95,104,1150
96,103,1151
97,102,1152
97,101,1153
96,100,1154
98,99,1155
102,100,1156
102,99,1157
103,98,1158
106,100,1159
108,101,1160
107,98,1161
109,100,1162
112,103,1163
112,101,1164
114,104,1165
116,108,1166
117,109,1167
117,107,1168
118,113,1169
119,113,1170
119,118,1171
119,121,1172
120,123,1173
120,125,1174
119,128,1175
115,136,1176
119,132,1177
116,137,1178
115,139,1179
111,143,1180
110,145,1181
109,146,1182
103,149,1183
100,151,1184
101,151,1185
101,152,1186
92,153,1187
92,154,1188
89,154,1189
81,152,1190
81,153,1191
75,150,1192
70,147,1193
70,148,1194
68,147,1195
60,136,1196
61,139,1197
58,136,1198
56,132,1199
53,124,1200
53,127,1201
51,120,1202
50,113,1203
49,110,1204
49,102,1205
49,100,1206
50,91,1207
50,90,1208
56,76,1209
54,78,1210
56,73,1211
58,70,1212
65,61,1213
63,62,1214
73,54,1215
74,52,1216
83,48,1217
86,46,1218
88,45,1219
92,44,1220
101,43,1221
105,42,1222
111,43,1223
119,45,1224
119,44,1225
133,52,1226
133,51,1227
133,50,1228
144,60,1229
148,64,1230
150,65,1231
157,76,1232
161,85,1233
164,92,1234
162,84,1235
167,106,1236
168,110,1237
169,113,1238
168,132,1239
168,134,1240
168,136,1241
165,149,1242
159,163,1243
157,168,1244
160,164,1245
151,178,1246
148,182,1247
137,193,1248
140,191,1249
125,201,1250
127,201,1251
117,206,1252
115,207,1253
104,210,1254
96,211,1255
89,212,1256
80,211,1257
67,208,1258
65,208,1259
48,199,1260
51,202,1261
40,194,1262
32,187,1263
30,185,1264
23,177,1265
16,166,1266
14,163,1267
8,151,1268
5,143,1269
3,134,1270
98,112,1271
100,112,1272
101,113,1273
101,115,1274
102,114,1275
103,115,1276
102,118,1277
101,121,1278
104,119,1279
103,121,1280
104,121,1281
102,124,1282
101,126,1283
101,127,1284
99,128,1285
97,129,1286
96,130,1287
96,131,1288
95,132,1289
92,132,1290
91,133,1291
88,132,1292
86,132,1293
84,131,1294
83,131,1295
81,130,1296
79,129,1297
77,127,1298
76,127,1299
73,121,1300
72,122,1301
70,115,1302
70,119,1303
69,115,1304
68,110,1305
68,106,1306
68,102,1307
67,103,1308
68,98,1309
71,89,1310
71,88,1311
72,86,1312
71,86,1313
78,78,1314
77,77,1315
82,73,1316
83,72,1317
84,71,1318
92,68,1319
90,67,1320
97,66,1321
98,65,1322
104,65,1323
108,65,1324
107,64,1325
114,66,1326
125,72,1327
120,67,1328
129,74,1329
130,74,1330
135,80,1331
138,83,1332
139,84,1333
143,93,1334
143,90,1335
146,99,1336
148,106,1337
149,112,1338
150,115,1339
149,127,1340
151,122,1341
149,134,1342
147,142,1343
142,153,1344
144,151,1345
141,157,1346
138,162,1347
131,170,1348
130,172,1349
122,178,1350
117,181,1351
119,181,1352
107,186,1353
105,187,1354
101,188,1355
92,189,1356
86,189,1357
81,189,1358
74,187,1359
70,186,1360
58,180,1361
62,184,1362
48,173,1363
45,171,1364
42,168,1365
38,163,1366
30,150,1367
29,149,1368
28,148,1369
22,130,1370
20,120,1371
19,117,1372
18,112,1373
18,103,1374
19,90,1375
20,84,1376
24,71,1377
23,70,1378
27,60,1379
31,52,1380
35,46,1381
40,39,1382
48,30,1383
54,25,1384
61,20,1385
60,20,1386
77,12,1387
80,10,1388
93,8,1389
100,7,1390
110,7,1391
115,7,1392
129,11,1393
133,12,1394
136,13,1395
141,15,1396
155,24,1397
95,114,1398
95,116,1399
93,114,1400
93,116,1401
91,114,1402
90,116,1403
89,112,1404
88,112,1405
88,114,1406
87,111,1407
86,112,1408
86,108,1409
86,105,1410
85,105,1411
85,104,1412
85,103,1413
87,99,1414
86,98,1415
87,97,1416
89,94,1417
90,93,1418
90,92,1419
92,90,1420
95,89,1421
97,88,1422
98,87,1423
101,87,1424
103,86,1425
106,87,1426
106,86,1427
106,85,1428
114,90,1429
114,88,1430
118,92,1431
118,91,1432
120,93,1433
124,98,1434
125,100,1435
126,101,1436
128,106,1437
129,108,1438
130,114,1439
131,112,1440
130,125,1441
131,125,1442
131,127,1443
130,132,1444
129,135,1445
125,143,1446
126,143,1447
125,145,1448
122,150,1449
117,155,1450
114,158,1451
111,160,1452
112,160,1453
104,164,1454
103,165,1455
96,166,1456
95,167,1457
90,167,1458
85,167,1459
83,167,1460
74,164,1461
72,164,1462
64,159,1463
61,157,1464
58,154,1465
57,154,1466
50,145,1467
47,141,1468
44,134,1469
45,138,1470
40,123,1471
39,119,1472
38,115,1473
37,109,1474
37,103,1475
38,93,1476
39,87,1477
43,75,1478
39,83,1479
45,69,1480
47,65,1481
51,58,1482
55,53,1483
62,46,1484
64,44,1485
69,40,1486
72,38,1487
82,33,1488
88,31,1489
95,30,1490
100,29,1491
109,29,1492
110,29,1493
125,33,1494
131,35,1495
132,35,1496
143,42,1497
145,43,1498
154,52,1499
154,51,1500
162,61,1501
169,73,1502
167,68,1503
173,81,1504
176,90,1505
177,93,1506
180,108,1507
180,125,1508
181,119,1509
180,134,1510
179,141,1511
174,159,1512
176,156,1513
167,175,1514
167,176,1515
163,183,1516
154,194,1517
146,202,1518
146,203,1519
137,210,1520
134,212,1521
121,219,1522
111,222,1523
104,224,1524
96,110,1525
96,109,1526
97,108,1527
98,107,1528
99,106,1529
100,106,1530
101,106,1531
102,105,1532
104,106,1533
105,106,1534
105,105,1535
107,107,1536
108,108,1537
109,109,1538
110,111,1539
111,112,1540
